	Agricultural land	Grasslands	Other	Peat	Rhizosphere	Temperate forest	Tropical forest	Unclassified
PTU-00503	1	0	1	0	1	1	0	0
PTU-00504	0	0	0	0	0	1	0	0
PTU-00505	1	0	1	0	1	1	0	1
PTU-00506	0	0	0	0	1	0	0	1
PTU-00507	0	0	0	0	1	0	0	0
PTU-00508	0	0	0	0	1	0	0	0
PTU-00509	0	1	0	0	1	1	0	0
PTU-00510	0	0	0	1	0	1	0	0
PTU-00511	0	1	0	0	1	0	0	0
PTU-00512	0	0	0	0	1	0	0	0
PTU-00513	0	0	0	1	0	0	0	0
PTU-00514	0	1	0	1	0	0	0	0
PTU-00515	1	0	0	0	0	0	1	0
PTU-00516	0	0	0	0	1	0	0	1
PTU-00517	0	0	0	0	0	1	0	0
PTU-00518	0	0	0	1	0	0	0	1
PTU-00519	0	1	0	0	1	1	0	1
PTU-00520	0	0	0	1	0	0	0	0
PTU-00521	1	1	0	0	1	1	0	0
PTU-00522	0	0	0	0	1	0	0	0
PTU-00523	1	0	0	0	1	0	0	0
PTU-00524	0	0	0	1	0	0	0	0
PTU-00525	0	0	0	1	0	0	0	0
PTU-00526	0	0	0	1	0	0	0	0
PTU-00527	0	0	0	1	0	0	0	0
PTU-00528	0	1	0	1	0	0	0	0
PTU-00529	0	0	0	1	0	0	0	0
PTU-00530	0	0	0	0	1	0	0	0
PTU-00531	0	0	0	1	0	0	0	0
PTU-00532	0	0	0	0	0	1	0	0
PTU-00533	0	0	0	0	1	0	0	0
PTU-00534	0	0	0	0	1	0	0	0
PTU-00535	0	0	0	0	1	0	0	0
PTU-00536	0	0	0	1	0	0	0	0
PTU-00537	1	1	1	0	1	1	0	0
PTU-00538	0	0	0	1	0	0	0	0
PTU-00539	1	0	0	0	1	0	0	0
PTU-00540	0	0	0	1	0	0	0	0
PTU-00541	0	1	0	0	1	0	0	1
PTU-00542	0	0	0	0	1	0	0	0
PTU-00543	0	0	0	0	0	0	0	1
PTU-00544	0	1	0	0	0	0	0	0
PTU-00545	0	0	0	1	0	0	0	0
PTU-00546	0	0	0	1	0	0	0	0
PTU-00547	0	0	0	0	1	0	0	0
PTU-00548	0	0	0	0	1	0	0	0
PTU-00549	1	0	0	0	1	0	0	1
PTU-00550	0	0	1	0	0	0	0	0
PTU-00551	0	0	0	1	0	1	0	1
PTU-00552	0	0	0	0	1	1	0	0
PTU-00553	0	0	0	1	0	1	0	0
PTU-00554	0	1	0	1	0	0	0	0
PTU-00555	0	0	1	1	0	1	0	0
PTU-00556	1	0	0	0	1	1	1	0
PTU-00557	1	0	0	0	1	0	0	0
PTU-00558	0	0	0	0	0	1	0	0
PTU-00559	0	0	0	0	1	0	0	1
PTU-00560	1	0	1	0	1	0	0	1
PTU-00561	0	0	0	0	1	0	0	1
PTU-00562	0	0	0	0	1	0	0	0
PTU-00563	0	0	0	0	0	1	0	0
PTU-00564	0	0	0	1	0	0	0	0
PTU-00565	0	0	0	1	0	0	0	0
PTU-00566	0	0	0	0	1	0	0	0
PTU-00567	0	0	1	0	1	0	0	0
PTU-00568	0	0	0	0	1	0	0	0
PTU-00569	0	0	1	0	1	0	1	1
